References,ID,Phylum,Class,Order,Family,Genus,Species,Habitat,Temp,Volume,Growth,Lat,Lon
Karsten et al. (2005),136,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria striatula,Marine,10,634,1.2,,
Karsten et al. (2005),136,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria striatula,Marine,15,634,1.24,,
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,0,23.6,0.49,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,0,23.6,0.54,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,3,23.6,0.45,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,3,23.6,0.49,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,5,23.6,0.54,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,5,23.6,0.59,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,7,23.6,0.38,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,7,23.6,0.47,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,9,23.6,0.39,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,9,23.6,0.47,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,10,23.6,0,-58,62
Fiala & Oriol (1990),137,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis cylindrus,Marine,10,23.6,0,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,0,825,0.38,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,0,825,0.39,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,3,825,0.4,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,3,825,0.44,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,4,825,0.49,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,4,825,0.54,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,7,825,0.2,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,7,825,0.25,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,8,825,0,-58,62
Fiala & Oriol (1990),138,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis kerguelensis,Marine,8,825,0,-58,62
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,19,84100,0,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,21,84100,0.03,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,23,84100,0.08,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,25,84100,0.1,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,27,84100,0.12,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,29,84100,0.16,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,31,84100,0.08,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,33,84100,0.03,24.70833333,-81.125
Morton et al. (1992),139,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus toxicus,Marine,35,84100,0,24.70833333,-81.125
Buitenhuis et al. (2008),140,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica,Marine,12,48,0.19,,
Buitenhuis et al. (2008),140,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica,Marine,15,48,0.62,,
Buitenhuis et al. (2008),140,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica,Marine,20,48,0.79,,
Buitenhuis et al. (2008),140,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica,Marine,25,48,0.87,,
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,9,48,0,-36.3,174.81
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,12,48,0.43,-36.3,174.81
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,15,48,0.47,-36.3,174.81
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,18,48,0.81,-36.3,174.81
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,21,48,0.88,-36.3,174.81
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,24,48,0.93,-36.3,174.81
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,27,48,0.74,-36.3,174.81
Conte et al. (1998),141,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,27,48,0.91,-36.3,174.81
Rhodes et al. (1995),142,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,5,48,0,-36.3,174.81
Rhodes et al. (1995),142,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,10,48,0.58,-36.3,174.81
Rhodes et al. (1995),142,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,15,48,1.03,-36.3,174.81
Rhodes et al. (1995),142,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,20,48,1.18,-36.3,174.81
Rhodes et al. (1995),142,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,25,48,0.94,-36.3,174.81
Rhodes et al. (1995),142,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,"Gephyrocapsa oceanica strain AB1, CAWPOT",Marine,30,48,0,-36.3,174.81
Bollmann et al. (2010),143,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4725,Marine,17,48,0.64,25.74,-80.05
Bollmann et al. (2010),143,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4725,Marine,22,48,1.01,25.74,-80.05
Bollmann et al. (2010),143,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4725,Marine,27,48,1.3,25.74,-80.05
Bollmann et al. (2010),143,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4725,Marine,29,48,1.28,25.74,-80.05
Bollmann et al. (2010),143,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4725,Marine,30,48,1.12,25.74,-80.05
Bollmann et al. (2010),144,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4727,Marine,17,48,0.55,25.69,-79.98
Bollmann et al. (2010),144,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4727,Marine,22,48,1.1,25.69,-79.98
Bollmann et al. (2010),144,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4727,Marine,27,48,1.23,25.69,-79.98
Bollmann et al. (2010),144,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4727,Marine,29,48,0.97,25.69,-79.98
Bollmann et al. (2010),144,Haptophyta,Coccolithophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica var. typica strain A4727,Marine,30,48,1.05,25.69,-79.98
Moss (1973),145,Charophyta,Conjugatophyceae,Desmidiales,Gonatozygaceae,Gonatozygon,Gonatozygon monotaenium,Freshwater,10,28556,0,,
Moss (1973),145,Charophyta,Conjugatophyceae,Desmidiales,Gonatozygaceae,Gonatozygon,Gonatozygon monotaenium,Freshwater,14,28556,0.2,,
Moss (1973),145,Charophyta,Conjugatophyceae,Desmidiales,Gonatozygaceae,Gonatozygon,Gonatozygon monotaenium,Freshwater,20,28556,0.19,,
Moss (1973),145,Charophyta,Conjugatophyceae,Desmidiales,Gonatozygaceae,Gonatozygon,Gonatozygon monotaenium,Freshwater,24,28556,0.33,,
Moss (1973),145,Charophyta,Conjugatophyceae,Desmidiales,Gonatozygaceae,Gonatozygon,Gonatozygon monotaenium,Freshwater,30,28556,0.3,,
Moss (1973),145,Charophyta,Conjugatophyceae,Desmidiales,Gonatozygaceae,Gonatozygon,Gonatozygon monotaenium,Freshwater,35,28556,0,,
Meeson and Sweeney (1982),146,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax polyedra,Marine,10,48,0.03,,
Meeson and Sweeney (1982),146,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax polyedra,Marine,15,56400,0.15,,
Meeson and Sweeney (1982),146,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax polyedra,Marine,20,40600,0.21,,
Langdon (1987),147,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax tamarensis,Marine,5,16200,0.15,,
Langdon (1987),147,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax tamarensis,Marine,10,16200,0.27,,
Langdon (1987),147,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,Gonyaulax tamarensis,Marine,15,16200,0.52,,
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,5.5,8840,0.073,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,8.5,8840,0.095,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,10.5,8840,0.189,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,13,8840,0.271,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,16,8840,0.277,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,18,8840,0.317,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,20,8840,0.319,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,22.5,8840,0.278,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,24.5,8840,0,41.79,-69.95
Watras et al. (1982),148,Dinoflagellata,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium tamarense clone GTMP,Marine,26.5,8840,0,41.79,-69.95
Baars (1981),149,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida,Marine,6,101000,0.27,,
Baars (1981),149,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida,Marine,12,88500,0.57,,
Baars (1981),149,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida,Marine,20,68200,0.66,,
Nielsen & Tonseth (1991),150,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium aureolum,Marine,13,3360,0.14,59.45,10.52
Nielsen & Tonseth (1991),150,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium aureolum,Marine,15,3360,0.29,59.45,10.52
Nielsen & Tonseth (1991),150,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium aureolum,Marine,18,3360,0.36,59.45,10.52
Nielsen & Tonseth (1991),150,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium aureolum,Marine,20,3360,0.4,59.45,10.52
Nielsen & Tonseth (1991),150,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium aureolum,Marine,23,3360,0.38,59.45,10.52
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,10,50400,0,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,11.5,50400,0.087,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,13,50400,0.09,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,15,50400,0.142,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,17,50400,0.167,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,18,50400,0.162,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,20,50400,0.159,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,21,50400,0.178,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,23,50400,0.181,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,25,50400,0.197,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,26,50400,0.181,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,27.5,50400,0.189,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,29,50400,0.212,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,30,50400,0.111,26.65,-111.8
Band-Schmidt (2004),151,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum strain GCCV-10,Marine,32.5,50400,0,26.65,-111.8
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,10,40100,0,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,13,40100,0.08,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,15,40100,0.15,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,17,40100,0.27,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,18,40100,0.3,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,20,40100,0.28,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,21.5,40100,0.29,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,22.5,40100,0.37,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,24,40100,0.37,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,25.5,40100,0.33,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,26.5,40100,0.36,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,27.5,40100,0.36,42.43,-8.95
Bravo and Anderson (1994),152,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium catenatum,Marine,29,40100,0,42.43,-8.95
Sundstrom et al. (2009),153,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium corollarium clone GCTV-B4,Marine,0,5240,0.26,58.88,20.32
Sundstrom et al. (2009),153,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium corollarium clone GCTV-B4,Marine,2,5240,0.29,58.88,20.32
Sundstrom et al. (2009),153,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium corollarium clone GCTV-B4,Marine,4,5240,0.33,58.88,20.32
Sundstrom et al. (2009),153,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium corollarium clone GCTV-B4,Marine,6,5240,0.31,58.88,20.32
Sundstrom et al. (2009),153,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium corollarium clone GCTV-B4,Marine,8,5240,0.1,58.88,20.32
Sundstrom et al. (2009),153,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium corollarium clone GCTV-B4,Marine,10,5240,0.07,58.88,20.32
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,15,567,0,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,15,567,0,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,16,567,0,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,16,567,0,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,20,567,0.45,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,20,567,0.61,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,21,567,0.5,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,21,567,0.51,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,24,567,0.69,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,24,567,0.7,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,24,567,0.71,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,24,567,0.75,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,27,567,0.74,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,27,567,0.8,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,28,567,0.64,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,28,567,0.86,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,30,567,0.28,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,30,567,0.37,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,31,567,0.57,9.81,-89.24
Thomas (1966),154,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium isolate 581 (probably G. simplex),Marine,31,567,0.58,9.81,-89.24
